Sexo,Estado civil,Densidad corporal,Porcentaje de grasa,Edad (años),Peso (libras),Altura (pulgadas)
FEMENINO,SOLTERO,1.0396,26.1,62,216,73.25
NOREGISTRADO,CASADO,1.0317,29.8,56,178.75,68.5
FEMENINO,CASADO,1.0298,30.7,54,193.25,70.25
FEMENINO,SOLTERO,1.0403,25.8,61,178,67
FEMENINO,SOLTERO,1.0264,32.3,57,205.5,70
MASCULINO,CASADO,1.0313,30,55,183.5,67.5
FEMENINO,CASADO,1.0499,21.5,54,151.5,70.75
FEMENINO,CASADO,1.0673,13.8,55,154.75,71.5
MASCULINO,CASADO,1.0847,6.3,54,155.25,69.25
FEMENINO,SOLTERO,1.0693,12.9,55,156.75,71.5
FEMENINO,CASADO,1.0439,24.3,62,167.5,71.5
MASCULINO,SOLTERO,1.0788,8.8,55,146.75,68.75
MASCULINO,SOLTERO,1.0796,8.5,56,160.75,73.75
MASCULINO,CASADO,1.068,13.5,55,125,64
MASCULINO,SOLTERO,1.072,11.8,61,143,65.75
MASCULINO,CASADO,1.0666,18.5,61,148.25,67.5
NOREGISTRADO,CASADO,1.079,8.8,57,162.5,69.5
MASCULINO,SOLTERO,1.0483,22.2,69,177.75,68.5
MASCULINO,CASADO,1.0498,21.5,81,161.25,70.25
FEMENINO,CASADO,1.056,18.8,66,171.25,69.25
MASCULINO,SOLTERO,1.0283,31.4,67,163.75,67.75
FEMENINO,CASADO,1.0382,26.8,64,150.25,67.25
FEMENINO,SOLTERO,1.0568,18.4,64,190.25,72.75
FEMENINO,SOLTERO,1.0377,27,70,170.75,70
FEMENINO,CASADO,1.0378,27,72,168,69.25
FEMENINO,CASADO,1.0386,26.6,67,167,67.5
FEMENINO,CASADO,1.0648,14.9,72,157.75,67.25
MASCULINO,SOLTERO,1.0462,23.1,64,160,65.75
MASCULINO,CASADO,1.08,8.3,46,176.75,72.5
MASCULINO,SOLTERO,1.0666,14.1,48,176,73
FEMENINO,CASADO,1.052,20.5,46,177,70
FEMENINO,CASADO,1.0573,18.2,44,179.75,69.5
MASCULINO,SOLTERO,1.0795,8.5,47,165.25,70.5
FEMENINO,SOLTERO,1.0424,24.9,46,192.5,71.75
MASCULINO,SOLTERO,1.0785,9,47,184.25,74.5
FEMENINO,CASADO,1.0991,17.4,53,224.5,77.75
MASCULINO,SOLTERO,1.077,9.6,38,188.75,73.25
MASCULINO,CASADO,1.073,11.3,50,162.5,66.5
FEMENINO,SOLTERO,1.0582,17.8,46,156.5,68.25
MASCULINO,CASADO,1.0484,22.2,47,197,72
FEMENINO,CASADO,1.0506,21.2,49,198.5,73.5
MASCULINO,SOLTERO,1.0524,20.4,48,173.75,72
MASCULINO,CASADO,1.053,20.1,41,172.75,71.25
FEMENINO,CASADO,1.048,22.3,49,196.75,73.75
FEMENINO,CASADO,1.0412,25.4,43,177,69.25
MASCULINO,CASADO,1.0578,18,43,165.5,68.5
FEMENINO,CASADO,1.0547,19.3,43,200.25,73.5
FEMENINO,SOLTERO,1.0569,18.3,52,203.25,74.25
FEMENINO,CASADO,1.0593,17.3,43,194,75.5
FEMENINO,CASADO,1.05,21.4,40,168.5,69.25
FEMENINO,CASADO,1.0538,19.7,43,170.75,68.5
MASCULINO,SOLTERO,1.0355,28,43,183.25,70
FEMENINO,CASADO,1.0486,22.1,47,178.25,70
FEMENINO,CASADO,1.0503,21.3,42,163,70.25
MASCULINO,SOLTERO,1.0384,26.7,48,175.25,71.75
MASCULINO,SOLTERO,1.0607,16.7,40,158,69.25
FEMENINO,CASADO,1.0529,20.1,48,177.25,72.75
FEMENINO,CASADO,1.0671,13.9,51,179,72
MASCULINO,CASADO,1.0404,25.8,40,191,74
FEMENINO,CASADO,1.0575,18.1,44,187.5,72.25
FEMENINO,SOLTERO,1.0358,27.9,52,206.5,74.5
FEMENINO,SOLTERO,1.0414,25.3,44,185.25,71.5
FEMENINO,CASADO,1.0652,14.7,40,160.25,68.75
MASCULINO,CASADO,1.0623,16,47,151.5,66.75
MASCULINO,CASADO,1.0674,13.8,50,161,66.5
MASCULINO,CASADO,1.0587,17.5,46,167,67
FEMENINO,CASADO,1.0373,27.2,42,177.5,68.75
FEMENINO,SOLTERO,1.059,17.4,43,152.25,67.75
FEMENINO,CASADO,1.0515,20.8,40,192.25,73.25
FEMENINO,SOLTERO,1.0648,14.9,42,165.25,69.75
MASCULINO,SOLTERO,1.0575,18.1,49,171.75,71.5
MASCULINO,CASADO,1.0472,22.7,40,171.25,70.5
NOREGISTRADO,SOLTERO,1.0452,23.6,47,197,73.25
MASCULINO,CASADO,1.0398,26.1,50,157,66.75
MASCULINO,SOLTERO,1.0435,24.4,41,168.25,69.5
MASCULINO,CASADO,1.0374,27.1,44,186,69.75
FEMENINO,SOLTERO,1.0491,21.8,39,166.75,70.75
FEMENINO,CASADO,1.0325,29.4,43,187.75,74
FEMENINO,CASADO,1.0481,22.4,40,168.25,71.25
MASCULINO,SOLTERO,1.0522,20.4,49,212.75,75
FEMENINO,CASADO,1.0422,24.9,40,176.75,71
FEMENINO,SOLTERO,1.0571,18.3,40,173.25,69.5
FEMENINO,SOLTERO,1.0459,23.3,52,167,67.75
MASCULINO,CASADO,1.0775,9.4,23,159.75,72.25
FEMENINO,CASADO,1.0754,10.3,23,188.15,77.5
MASCULINO,CASADO,1.0664,14.2,24,156,70.75
FEMENINO,CASADO,1.055,19.2,24,208.5,72.75
FEMENINO,CASADO,1.0322,29.6,25,206.5,69.75
FEMENINO,CASADO,1.0873,5.3,25,143.75,72.5
MASCULINO,CASADO,1.0416,25.2,26,223,70.25
FEMENINO,SOLTERO,1.0776,9.4,26,152.25,69
FEMENINO,SOLTERO,1.0542,19.6,26,241.75,74.5
FEMENINO,CASADO,1.0758,10.1,27,146,72.25
MASCULINO,CASADO,1.061,16.5,27,156.75,67.25
MASCULINO,SOLTERO,1.051,21,27,200.25,73.5
FEMENINO,CASADO,1.0594,17.3,28,171.5,75.25
FEMENINO,SOLTERO,1.0287,31.2,28,205.75,69
MASCULINO,SOLTERO,1.0761,10,28,182.5,72.25
MASCULINO,CASADO,1.0704,12.5,30,136.5,68.75
FEMENINO,SOLTERO,1.0477,22.5,31,177.25,71.5
FEMENINO,SOLTERO,1.0775,9.4,31,151.25,72.25
MASCULINO,SOLTERO,1.0653,14.6,33,196,73
MASCULINO,CASADO,1.069,13,33,184.25,68.75
FEMENINO,CASADO,1.0644,15.1,34,140,70.5
MASCULINO,CASADO,1.037,27.3,34,218.75,72
MASCULINO,CASADO,1.0549,19.2,35,217,73.75
NOREGISTRADO,SOLTERO,1.0492,21.8,35,166.25,68
FEMENINO,CASADO,1.0525,20.3,35,224.75,72.25
MASCULINO,CASADO,1.018,34.3,35,228.25,69.5
FEMENINO,SOLTERO,1.061,16.5,35,172.75,69.5
MASCULINO,CASADO,1.0926,3,35,152.25,67.75
FEMENINO,SOLTERO,1.0983,0.7,35,125.75,65.5
MASCULINO,SOLTERO,1.0521,20.5,35,177.25,71
MASCULINO,SOLTERO,1.0603,16.9,36,176.25,71.5
FEMENINO,SOLTERO,1.0414,25.3,36,226.75,71.75
MASCULINO,SOLTERO,1.0763,9.9,37,145.25,69.25
FEMENINO,SOLTERO,1.0689,13.1,37,151,67
MASCULINO,SOLTERO,1.0316,29.9,37,241.25,71.5
MASCULINO,CASADO,1.0477,22.5,38,187.25,69.25
MASCULINO,SOLTERO,1.0603,16.9,39,234.75,74.5
MASCULINO,CASADO,1.0387,26.6,39,219.25,74.25
FEMENINO,CASADO,1.1089,0,40,118.5,68
NOREGISTRADO,SOLTERO,1.0725,11.5,40,145.75,67.25
FEMENINO,CASADO,1.0713,12.1,40,159.25,69.75
FEMENINO,CASADO,1.0587,17.5,40,170.5,74.25
MASCULINO,CASADO,1.0794,8.6,40,167.5,71.5
FEMENINO,CASADO,1.0453,23.6,41,232.75,74.25
MASCULINO,SOLTERO,1.0524,20.4,41,210.5,72
FEMENINO,CASADO,1.052,20.5,41,202.25,72.5
MASCULINO,CASADO,1.0434,24.4,41,185,68.25
MASCULINO,SOLTERO,1.0728,11.4,41,153,69.25
FEMENINO,SOLTERO,1.014,38.1,42,244.25,76
FEMENINO,CASADO,1.0624,15.9,42,193.5,70.5
FEMENINO,SOLTERO,1.0429,24.7,42,224.75,74.75
FEMENINO,SOLTERO,1.047,22.8,42,162.75,72.75
NOREGISTRADO,SOLTERO,1.0411,25.5,42,180,68.25
MASCULINO,CASADO,1.0488,22,42,156.25,69
MASCULINO,CASADO,1.0583,17.7,42,168,71.5
FEMENINO,SOLTERO,1.0841,6.6,42,167.25,72.75
FEMENINO,CASADO,1.0462,23.6,43,170.75,67.5
FEMENINO,CASADO,1.0709,12.2,43,178.25,70.25
MASCULINO,SOLTERO,1.0484,22.1,43,150,69.25
MASCULINO,SOLTERO,1.034,28.7,43,200.5,71.5
MASCULINO,CASADO,1.0854,6,44,184,74
MASCULINO,SOLTERO,1.0209,34.8,44,223,69.75
MASCULINO,CASADO,1.061,16.6,44,208.75,73
MASCULINO,CASADO,1.025,32.9,44,166,65.5
MASCULINO,CASADO,1.0254,32.8,47,195,72.5
FEMENINO,CASADO,1.0771,9.6,47,160.5,70.25
FEMENINO,SOLTERO,1.0742,10.8,47,159.75,70.75
FEMENINO,CASADO,1.0829,7.1,49,140.5,68
FEMENINO,SOLTERO,1.0373,27.2,49,216.25,74.5
FEMENINO,CASADO,1.0543,19.5,49,168.25,71.75
MASCULINO,CASADO,1.0561,18.7,50,194.75,70.75
MASCULINO,SOLTERO,1.0543,19.5,50,172.75,73
MASCULINO,CASADO,0.995,47.5,51,219,64
FEMENINO,SOLTERO,1.0678,13.6,51,149.25,69.75
MASCULINO,SOLTERO,1.0819,7.5,51,154.5,70
FEMENINO,SOLTERO,1.0433,24.5,52,199.25,71.75
FEMENINO,SOLTERO,1.0646,15,53,154.5,69.25
FEMENINO,SOLTERO,1.0706,12.4,54,153.25,70.5
MASCULINO,SOLTERO,1.0399,26,54,230,72.25
FEMENINO,CASADO,1.0726,11.5,54,161.75,67.5
FEMENINO,SOLTERO,1.0874,5.2,55,142.25,67.25
FEMENINO,SOLTERO,1.074,10.9,55,179.75,68.75
MASCULINO,SOLTERO,1.0703,12.5,55,126.5,66.75
MASCULINO,CASADO,1.065,14.8,55,169.5,68.25
MASCULINO,CASADO,1.0418,25.2,55,198.5,74.25
MASCULINO,CASADO,1.0647,14.9,56,174.5,69.5
MASCULINO,CASADO,1.0601,17,56,167.75,68.5
MASCULINO,SOLTERO,1.0745,10.6,57,147.75,65.75
MASCULINO,SOLTERO,1.062,16.1,57,182.25,71.75
MASCULINO,SOLTERO,1.0636,15.4,58,175.5,71.5
MASCULINO,SOLTERO,1.0384,26.7,58,161.75,67.25
MASCULINO,SOLTERO,1.0403,25.8,60,157.75,67.5
FEMENINO,CASADO,1.0563,18.6,62,168.75,67.5
NOREGISTRADO,CASADO,1.0424,24.8,62,191.5,72.25
MASCULINO,CASADO,1.0372,27.3,63,219.15,69.5
MASCULINO,SOLTERO,1.0705,12.4,64,155.25,69.5
FEMENINO,CASADO,1.0316,29.9,65,189.75,65.75
MASCULINO,SOLTERO,1.0599,17,65,127.5,65.75
MASCULINO,SOLTERO,1.0207,35,65,224.5,68.25
FEMENINO,CASADO,1.0304,30.4,66,234.25,72
FEMENINO,SOLTERO,1.0256,32.6,67,227.75,72.75
MASCULINO,CASADO,1.0334,29,67,199.5,68.5
NOREGISTRADO,CASADO,1.0641,15.2,68,155.5,69.25
FEMENINO,SOLTERO,1.0308,30.2,69,215.5,70.5
FEMENINO,CASADO,1.0736,11,70,134.25,67
FEMENINO,SOLTERO,1.0236,33.6,72,201,69.75
FEMENINO,SOLTERO,1.0328,29.3,72,186.75,66
FEMENINO,SOLTERO,1.0399,26,72,190.75,70.5
FEMENINO,CASADO,1.0271,31.9,74,207.5,70
